522,547,1751,588
522,365,1843,403
583,739,1813,774
122,713,245,738
122,591,276,621
522,624,1259,654
583,882,1782,923
522,407,1874,440
522,298,1597,331
583,835,1444,867
122,992,338,1020
553,24,1198,54
122,351,338,376
583,993,1751,1023
122,470,368,496
122,870,245,896
522,192,1813,224
583,944,1475,972
522,512,1843,545
553,110,614,137
583,1033,1014,1068
122,668,215,691
399,22,491,54
122,630,245,655
1567,25,1751,65
122,1028,307,1051
30,107,338,133
122,388,215,413
122,788,338,815
676,111,768,133
522,449,1014,476
122,910,430,933
614,780,1628,810
0,20,307,68
122,508,430,534
583,689,1444,719
92,229,245,251
522,236,921,262
92,542,460,574
92,424,338,453
92,302,399,337
92,821,399,853
92,197,307,219
1075,450,1321,478
92,945,338,975
